hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
899031,B-16728,TW,46.51,-131.07,9144,300,837,0,,11,EVA11,BR11,KLAX,LAX,RCTP,TPE,EVA,BR,B77W,1687168579,en-route
899040,B-16736,TW,25.12,71.15,9144,287,942,0,,67,EVA67,BR67,VTBS,BKK,EGLL,LHR,EVA,BR,B77W,1687168579,en-route
899046,B-18663,TW,13.869324,100.786728,777,194,335,,2665,839,CAL839,CI839,RCKH,KHH,VTBS,BKK,CAL,CI,B738,1687168555,en-route
899050,B-16337,TW,29.82,104.34,2400,296,442,-4.2,,765,EVA765,BR765,RCTP,TPE,,TFU,EVA,BR,A333,1687168579,en-route
899063,B-16338,TW,14.503815,121.005898,0,2,11,,0000,,,,,,,,,,A333,1687168260,en-route
899080,B-16737,TW,13.663513,100.732552,312,195,329,,6105,68,EVA68,BR68,EGLL,LHR,RCTP,TPE,EVA,BR,B77W,1687168558,en-route
899081,B-16738,TW,49.011108,2.550395,0,163,40,,0000,,,,,,,,,,B77W,1687168128,en-route
899096,B-17806,TW,50.38,-130.12,10111,297,935,5.9,,25,EVA25,BR25,KSEA,SEA,RCTP,TPE,EVA,BR,B78X,1687168579,en-route
899103,B-18717,TW,52.03,170.03,10668,50,926,0,,5234,CAL5234,CI5234,RCTP,TPE,PANC,ANC,CAL,CI,B744,1687168579,en-route
899104,B-18718,TW,9.02,110.8,10972,35,900,0,,5584,CAL5584,CI5584,WSSS,SIN,RCTP,TPE,CAL,CI,B744,1687168579,en-route
899107,B-18721,TW,47.81,159.73,10668,52,1005,0,,5236,CAL5236,CI5236,RCTP,TPE,PANC,ANC,CAL,CI,B744,1687168579,en-route
899121,B-16781,TW,42.11,147.12,11277,223,883,0,,635,EVA635,BR635,PANC,ANC,RCTP,TPE,EVA,BR,B77L,1687168579,en-route
899124,B-16783,TW,56.36,-133.93,10058,119,913,0,,668,EVA668,BR668,PANC,ANC,KATL,ATL,EVA,BR,B77L,1687168579,en-route
899137,B-16786,TW,41.43,153.12,9448,39,1035,0,,662,EVA662,BR662,RCTP,TPE,PANC,ANC,EVA,BR,B77L,1687168579,en-route
899149,B-16853,TW,24.478,118.468,647,242,235,-3.6,,769,MDA769,AE769,RCMQ,RMQ,RCBS,KNH,MDA,AE,AT76,1687168579,en-route
0086AA,,ZA,-33.621094,20.813766,8999,0,250,,4544,905,KEM905,5Z905,FALE,DUR,FACT,CPT,KEM,5Z,,1687168553,en-route
00A3B6,ZS-NMZ,ZA,-25.939144,27.923618,0,225,38,,6302,,,,,,,,,,PC12,1687168325,en-route
00C451,ZS-ZWA,ZA,-28.381502,29.746559,9486,144,926,,0403,661,SFR661,FA661,FAOR,JNB,FALE,DUR,SFR,FA,B738,1687166929,en-route
00C463,ZS-ZWS,ZA,-33.891052,18.578281,472,165,288,,3547,292,SFR292,FA292,FAOR,JNB,FACT,CPT,SFR,FA,B738,1687168553,en-route
0100A6,SU-GCI,EG,28.893814,33.159801,10759,309,872,,5272,640,MSR640,MS640,OEMA,MED,HECA,CAI,MSR,MS,A332,1687168557,en-route
0100A8,SU-GCK,EG,29.425186,32.343697,5455,310,703,,4541,662,MSR662,MS662,OEJN,JED,HECA,CAI,MSR,MS,A332,1687168532,en-route
010145,SU-GDY,EG,29.080578,32.831242,6560,310,809,,5233,696,MSR696,MS696,OEMA,MED,HECA,CAI,MSR,MS,B738,1687168262,en-route
010147,SU-GEA,EG,29.649536,33.249699,8442,98,938,,7360,689,MSR689,MS689,HECA,CAI,OERK,RUH,MSR,MS,B738,1687168550,en-route
0101CD,SU-AAD,EG,29.490005,37.977581,10675,103,874,,7335,337,RBG337,E5337,HEBA,HBE,OERK,RUH,RBG,E5,A320,1687168549,en-route
0101FE,SU-GFI,EG,32.178543,31.426447,10058,225,737,,3335,710,MSR710,MS710,OLBA,BEY,HECA,CAI,MSR,MS,BCS3,1687168557,en-route
01022B,SU-BUJ,EG,32.029312,28.580547,10370,306,785,,6114,725,MSC725,SM725,HECA,CAI,LEVC,VLC,MSC,SM,A320,1687168558,en-route
01022C,SU-BUK,EG,40.429035,38.541599,10363,209,711,,5373,884,MSC884,SM884,UACC,NQZ,HESH,SSH,MSC,SM,A20N,1687168107,en-route
01022D,SU-BUL,EG,32.32457,28.61776,10668,146,879,,6123,2951,MSC2951,SM2951,EDDS,STR,HEGN,HRG,MSC,SM,A20N,1687168557,en-route
010235,SU-TMO,EG,28.304737,46.277374,10972,291,859,,1721,522,FEG522,FT522,OMSJ,SHJ,HECA,CAI,FEG,FT,B738,1687168557,en-route
01023D,SU-BUU,EG,29.232477,39.332615,10675,103,898,,7373,461,MSC461,SM461,HECA,CAI,OERK,RUH,MSC,SM,A320,1687168465,en-route
010243,SU-GFS,EG,35.750629,17.245146,10363,282,803,,2064,753,MSR753,MS753,HECA,CAI,LEMD,MAD,MSR,MS,A21N,1687168557,en-route
010256,SU-TCM,EG,54.59465,24.116072,10058,215,816,,5460,717,LMU717,UJ717,,,,,LMU,UJ,A321,1687168558,en-route
010257,SU-BVG,EG,30.758646,30.71261,6393,314,663,,6110,,,,,,,,,,E190,1687168550,en-route
010259,SU-BVI,EG,28.888783,32.403152,9585,143,848,,3330,382,MSC382,SM382,LQSA,SJJ,HEGN,HRG,MSC,SM,E190,1687167820,en-route
018070,5A-ONO,LY,40.934647,29.008545,2179,226,487,,4114,974,AAW974,8U974,HLLM,MJI,LTFM,IST,AAW,8U,A320,1687168554,en-route
01808C,5A-FLF,LY,32.621567,18.268999,7863,106,787,,2000,103,TLR103,7Q103,,,,,TLR,7Q,RJ1H,1687168419,en-route
018096,5A-GRA,MX,33.54364,11.896119,7315,140,692,,6142,412,GMS412,,,,,,GMS,,B733,1687168555,en-route
